Epoch,Loss
1,0.015023770152810985
2,0.009663438073052845
3,0.006791582785153426
4,0.003967309119367845
5,0.0038274050442941533
6,0.00378569784199657
7,0.003770461216314424
8,0.003768437287679104
9,0.003846650468821851
10,0.003802911756973806
11,0.0038141008052159308
12,0.0037314178691800937
13,0.0038047876532235824
14,0.003822203460207313
15,0.003771238492133663
16,0.003711064278888545
17,0.0036999718412635443
18,0.00380773648224852
19,0.0038115916211846406
20,0.0037031244433785773
21,0.00377835402292668
22,0.0036791989793827445
23,0.0036264658653935105
24,0.004037516988432093
25,0.003773864286717444
26,0.0038108938534148267
27,0.003717165127951906
28,0.003716698111980714
29,0.003658642535031374
30,0.004071632606231879
31,0.003670336187474418
32,0.0036366682836600807
33,0.003667838252344753
